,10 YR Treasury Averagespread_v_Federal Funds Rate,Moody Baa Yield Averagespread_v_Federal Funds Rate,Moody Aaa Yield Averagespread_v_Federal Funds Rate,30 Year Mortgage Averagespread_v_Federal Funds Rate,10 YR Treasury Averagespread_v_Federal Funds Ratecat,Moody Baa Yield Averagespread_v_Federal Funds Ratecat,Moody Aaa Yield Averagespread_v_Federal Funds Ratecat,30 Year Mortgage Averagespread_v_Federal Funds Ratecat
1971-10-31,0.8,3.28,2.19,2.47,1,1,1,1
1971-11-30,0.89,3.47,2.35,2.76,1,1,1,1
1971-12-31,1.78,4.24,3.11,3.53,1,1,1,1
1972-01-31,2.42,4.73,3.69,4.17,1,1,1,1
1972-02-29,2.8,4.94,3.98,4.38,1,1,1,1
1972-03-31,2.21,4.41,3.41,3.84,1,1,1,1
1972-04-30,1.87,4.07,3.13,3.5,1,1,1,1
1972-05-31,1.87,3.96,3.03,3.4,1,1,1,1
1972-06-30,1.61,3.74,2.77,3.21,1,1,1,1
1972-07-31,1.52,3.68,2.66,3.12,1,1,1,1
1972-08-31,1.34,3.39,2.39,2.87,1,1,1,1
1972-09-30,1.56,3.22,2.35,2.55,1,1,1,1
1972-10-31,1.39,3.02,2.17,2.38,1,1,1,1
1972-11-30,1.33,2.93,2.06,2.36,1,1,1,1
1972-12-31,0.96,2.6,1.75,2.12,1,1,1,1
1973-01-31,0.35,1.96,1.21,1.51,1,1,1,1
1973-02-28,0.0199999999999996,1.39,0.64,0.87,1,1,1,1
1973-03-31,-0.44,0.94,0.2,0.36,0,1,1,1
1973-04-30,-0.47,0.97,0.14,0.33,0,1,1,1
1973-05-31,-1.12,0.220000000000001,-0.55,-0.39,0,1,0,0
1973-06-30,-1.53,-0.359999999999999,-1.12,-0.79,0,0,0,0
1973-07-31,-3.44,-2.16,-2.95,-2.7,0,0,0,0
1973-08-31,-2.95,-1.97,-2.82,-2.8,0,0,0,0
1973-09-30,-3.23,-2.15,-3.15,-3.08,0,0,0,0
1973-10-31,-3.1,-1.6,-2.41,-2.31,0,0,0,0
1973-11-30,-3.32,-1.61,-2.36,-2.33,0,0,0,0
1973-12-31,-3.24,-1.47,-2.27,-2.25,0,0,0,0
1974-01-31,-2.94,-1.17,-1.82,-1.95,0,0,0,0
1974-02-28,-1.97,-0.440000000000001,-1.12,-0.49,0,0,0,0
1974-03-31,-2.27,-0.73,-1.34,-0.94,0,0,0,0
1974-04-30,-3.09,-1.64,-2.26,-2.1,0,0,0,0
1974-05-31,-3.69,-2.26,-2.94,-2.9,0,0,0,0
1974-06-30,-4.31,-2.66,-3.46,-3.52,0,0,0,0
1974-07-31,-5.27,-3.44,-4.2,-4.51,0,0,0,0
1974-08-31,-4.09,-2.24,-3.01,-3.6,0,0,0,0
1974-09-30,-3.42,-1.16,-2.1,-2.93,0,0,0,0
1974-10-31,-2.09,0.42,-0.790000000000001,-1.65,0,1,0,0
1974-11-30,-1.65,1.15,-0.559999999999999,0.42,0,1,0,1
1974-12-31,-0.73,2.1,0.360000000000001,1.34,0,1,1,1
1975-01-31,0.67,3.68,1.7,2.74,1,1,1,1
1975-02-28,1.56,4.41,2.38,3.63,1,1,1,1
1975-03-31,2.26,4.94,3.13,4.33,1,1,1,1
1975-04-30,2.59,5.09,3.46,4.38,1,1,1,1
1975-05-31,3.09,5.47,3.68,4.65,1,1,1,1
1975-06-30,2.76,5.07,3.22,4.32,1,1,1,1
1975-07-31,1.87,4.45,2.74,3.77,1,1,1,1
1975-08-31,2.12,4.45,2.81,2.75,1,1,1,1
1975-09-30,2.02,4.37,2.71,2.65,1,1,1,1
1975-10-31,2.65,4.8,3.04,3.07,1,1,1,1
1975-11-30,3.25,5.34,3.56,3.67,1,1,1,1
1975-12-31,2.92,5.36,3.59,3.69,1,1,1,1
1976-01-31,3.25,5.54,3.73,4.02,1,1,1,1
1976-02-29,3.35,5.47,3.78,4.12,1,1,1,1
1976-03-31,3.02,5.28,3.68,4.05,1,1,1,1
1976-04-30,2.86,5.12,3.58,4.07,1,1,1,1
1976-05-31,2.39,4.57,3.29,3.6,1,1,1,1
1976-06-30,2.46,4.41,3.14,3.41,1,1,1,1
1976-07-31,2.57,4.51,3.25,3.58,1,1,1,1
1976-08-31,2.59,4.35,3.16,3.6,1,1,1,1
1976-09-30,2.39,4.15,3.13,3.64,1,1,1,1
1976-10-31,2.47,4.27,3.3,3.88,1,1,1,1
1976-11-30,2.43,4.28,3.3,3.95,1,1,1,1
1976-12-31,2.32,4.47,3.33,4.25,1,1,1,1
1977-01-31,2.36,4.47,3.35,4.29,1,1,1,1
1977-02-28,2.73,4.44,3.36,4.22,1,1,1,1
1977-03-31,2.8,4.43,3.41,4.21,1,1,1,1
1977-04-30,2.7,4.34,3.31,3.97,1,1,1,1
1977-05-31,2.08,3.66,2.7,3.35,1,1,1,1
1977-06-30,1.99,3.52,2.56,3.31,1,1,1,1
1977-07-31,1.92,3.45,2.52,3.53,1,1,1,1
1977-08-31,1.53,2.92,2.08,3.05,1,1,1,1
1977-09-30,1.16,2.66,1.78,2.81,1,1,1,1
1977-10-31,0.83,2.42,1.57,2.48,1,1,1,1
1977-11-30,1.12,2.44,1.57,2.44,1,1,1,1
1977-12-31,1.02,2.43,1.63,2.39,1,1,1,1
1978-01-31,0.88,2.47,1.71,2.25,1,1,1,1
1978-02-28,1.18,2.42,1.69,2.17,1,1,1,1
1978-03-31,1.26,2.43,1.68,2.16,1,1,1,1
1978-04-30,1.16,2.43,1.67,2.06,1,1,1,1
1978-05-31,0.88,2.13,1.33,1.59,1,1,1,1
1978-06-30,0.810000000000001,2,1.16,1.35,1,1,1,1
1978-07-31,0.600000000000001,1.79,1.07,1.14,1,1,1,1
1978-08-31,0.5,1.44,0.65,0.91,1,1,1,1
1978-09-30,-0.0699999999999985,0.97,0.24,1.3,0,1,1,1
1978-10-31,-0.58,0.629999999999999,-0.0700000000000003,0.789999999999999,0,1,0,1
